1,64,511.8,383.3,336.1,555.2,7.04,265
2,72,510.7,379.5,687.5,581.2,7.67,233
3,64,505.5,388.5,665.0,557.5,6.66,231
4,72,509.5,388.4,320.8,574.8,7.58,260
5,68,504.9,392.1,652.9,560.0,6.41,220
6,72,511.1,376.5,318.5,550.1,7.43,254
7,64,511.1,374.8,659.6,524.2,6.05,222
8,64,510.2,379.3,336.8,535.9,6.71,284
9,62,509.6,378.8,654.4,542.9,6.28,227
10,64,507.3,380.0,338.3,552.1,6.92,286
11,64,504.7,386.8,655.4,541.9,6.20,243
12,54,508.6,385.2,354.7,540.7,6.28,248
13,58,511.1,383.8,657.2,536.5,6.06,212
14,72,514.1,375.3,320.8,558.4,7.62,260
15,64,509.8,380.6,664.8,535.2,6.29,232
16,66,515.6,379.8,341.9,523.7,6.48,260
17,64,509.2,378.2,651.1,523.2,5.83,210
18,70,512.0,379.6,351.1,529.6,6.32,240
19,64,510.4,382.6,653.8,526.7,5.85,204
20,70,507.5,383.4,323.6,559.6,7.29,276
21,64,507.4,392.1,655.9,534.1,5.90,221
22,66,504.3,382.5,350.2,531.4,6.15,231
23,66,511.7,373.7,655.2,504.0,5.58,199
24,62,513.3,389.0,359.8,500.5,5.46,238
25,60,513.2,384.4,635.7,477.0,4.42,201
26,58,510.5,360.6,360.5,472.9,5.41,270
27,64,508.9,365.9,650.6,515.5,5.93,238
28,66,509.0,373.0,346.1,513.3,6.18,237
29,54,512.7,373.9,643.3,501.6,5.26,201
30,66,498.8,374.1,337.8,535.4,6.54,295
31,62,501.9,382.7,640.0,504.8,5.31,234
32,58,506.3,366.4,389.4,466.4,4.44,230
33,58,503.8,365.9,630.1,488.4,5.07,231
34,64,503.4,366.4,337.9,542.0,6.92,270
35,48,493.3,385.5,611.2,479.0,4.34,204
36,62,496.7,378.0,351.6,520.8,5.85,229
37,62,505.9,374.5,641.9,508.2,5.49,229
38,64,510.5,377.1,349.5,533.4,6.44,273
39,68,506.7,374.4,637.6,524.6,5.73,188
40,54,506.4,382.6,344.4,542.2,6.52,243
41,62,499.6,370.1,637.6,516.0,5.77,232
42,60,509.7,369.9,350.5,525.2,6.39,304
43,66,504.6,377.6,631.9,531.7,5.75,210
